textID,text,sentiment,Labels
c77717b103, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,positive,Social
a9d499e123,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral,Technology
ddf296dffa,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,negative,Economy
c3924dc9e4,:visiting my friendster and facebook,neutral,Social
3d9d4b0b55,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",negative,Economy
3fcea4debc, which case? I got a new one last week and I`m not thrilled at all with mine.,negative,Social
a3ae670885, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral,Social
15d5f3a41b," also bored at school, its my third freelesson( freistunde )",neutral,Social
3c4a21b2cb, hm... Both of us I guess...,neutral,Political
11084dac09, it is ****...u have dissappointed me that past few days,negative,Technology
d8ba2a99a9, romance zero is funny,positive,Economy
e77fd45003, I`d rather do the early run..but I am a morning runner,neutral,Technology
b159318d76,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative,Economy
6086b1f016,will be back later.  http://plurk.com/p/rp3k7,neutral,Social
703afdc44b,Aw. Torn ace of hearts  #Hunchback,negative,Political
90f3d2b572, what fun are you speaking of?,neutral,Economy
52483f7da8,"i lost all my friends, i`m alone and sleepy..i wanna go home",negative,Social
a4b0888da6, haha yes,neutral,Technology
2a9765b7f9,I give in to easily,negative,Social
90a2cdb657,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,positive,Social
98f25bc596,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,negative,Technology
23e1f7dca4,Is at a photoshoot.,neutral,Political
95e12b1cb1,  He`s awesome... Have you worked with him before? He`s a good friend.,positive,Economy
c34feef039,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,neutral,Economy
fa2654e730,Chilliin,positive,Economy
187494c25b," If you know such agent, do let me know",neutral,Technology
4213627c3c,I still smell of smoke  #kitchenfire,neutral,Social
a4e00d4d26, a celtics-lakers rematch sounds better don`t you think? lol,positive,Political
04e2e334de,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",neutral,Economy
0c4aa867d0,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral,Technology
a6c61eac26, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral,Social
94bd67443c,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral,Social
35f393a245,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",negative,Political
b2c9f115b1, My sources say no,neutral,Economy
0a61cbf4b5,I am sooo tired,negative,Technology
ee9ec7a5a4," Hey, you change your twitter account, and you didn`t even tell me...",neutral,Social
bbbc46889b, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive,Social
58d382e07a, lucky kid...i so wanna see loserville  pity im in oz....,positive,Political
cb4d439ebc,fell asleep waiting for my ride!,neutral,Economy
64ed512788,Sick. With a flu like thing.,negative,Technology
4cd390c007,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",negative,Social
3d2fcd78c8,Happy Star Wars day everyone! and Enjoy the holiday (UK),positive,Political
0c0563423e, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,neutral,Political
cd0d522bb1,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",neutral,Social
bffa3ddd61,i miss you bby      wish you were going tomorrow to make me do good.,negative,Social
9339ee8e0b, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,positive,Economy
a76f9cf8ce, SWEEEEET - San Fran is awesome!!!!  Love it there,positive,Social
4ce121e2ad,_Mounce yes and it lasts way past my bedtime!,neutral,Political
a3de81e1ba, Hi  how are you doing ???  *just joined twitter...*,neutral,Social
55bacda5eb,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,negative,Economy
b63ed6da62,eating ice cream and then getting ready for graduation.,neutral,Social
4c41a35a2a,Happy Mothers day to all you Mums out there,positive,Social
61a8e11e8a," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",negative,Economy
447dc22c81, hemp cloth is marvelous but unfortunately no,negative,Technology
3408db03a3,Gonna read a story bout adam lambert online then bed. Nighty night,neutral,Social
92e1b6846e, We saw that in none 3D - the baddie`s the best,positive,Political
2207d982bc,4am. And Im on the beach. Pretty,positive,Economy
15e01e1749," Certainly not Cheers than, huh?",neutral,Technology
ebcdf07ac5,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",negative,Social
fd9fb4f1ad,i realy wanted to go out cause its so nice but everybodys busy,negative,Political
6b018d3d2d, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,positive,Economy
327a009a7d,at least I get to watch over time  Let`s go Pens!!,neutral,Technology
d0d3c6f298, cool i wear black most of the time when i go out,neutral,Social
40649553ef, haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,positive,Economy
561b44a42f, have a safe trip joshy poo.......you`ll knock them dead at your speech,positive,Political
a05aea73d7," woof, I wish I was allowed to go",positive,Economy
9c4817f73b,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,neutral,Social
f0c1601d8b,  has tickets.......?,neutral,Technology
d421fbd332,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",positive,Social
99b7ec4b0b, ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral,Political
a655fbb5eb,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",positive,Economy
43e9a93104,So many tests todayyy  I don`t feel confident about anyy.,negative,Economy
401869d615,graduation is done  im a little sad.. anyone want to hang out???,negative,Social
9843c4688e, hahaa your awesomee !,positive,Technology
87fbf14655,holy smokes! star trek was freaking awesomeeeee,positive,Social
22d1806fa0,"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",neutral,Economy
9d2cffd953," I had it! On my itunes, but then I lost all my songs.",neutral,Political
f78761f7ec,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral,Economy
66057d58c2,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",negative,Political
af90ad5989," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",negative,Technology
f0460d611d,not well,negative,Social
6649f3558c, Not a prob hun,positive,Political
24532ab83c,"at dads, watching some mtv and am going on sims2 in a minutee",neutral,Social
8e1583cb08, Absolutely,neutral,Economy
4ea61dbc7a, what`s the matter chickadee?,neutral,Technology
94f67cfa6d, hey mia!  totally adore your music.  when will your cd be out?,positive,Social
29dfaf5e3b,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",positive,Economy
974b35f889, =O you need to ask him something? Lmao I love him too,positive,Social
b495300bbf, those splinters look very painful...but you were being very heroic saving mr. Pickle,negative,Political
504539e6ec, why are you sad?,negative,Social
6903cb08f2, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,positive,Social
1996048e7a,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,positive,Economy
c6d0c7676c, Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral,Technology
ef74bab7f3," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral,Political
f3cf8ec01b,Humous and Dorito`s.... Oh yes,neutral,Social
cb1b0d191d,"missed all the awesome weather, because she was in a movie!",negative,Political
3e67a75303,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral,Economy
997a62f83f,"These kids are terrible! If I was in Good Evans, I`d call Childline",negative,Social
7e1757d4f0,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",negative,Political
254546cd2c," What`s sad is that I actually had to google that term. That sucks, tho.",negative,Social
7e4ed52c4a,Hate fighting,negative,Social
5069ae7a15," I watched that too!!! I didnt want her to win, but she put up a good fight..lol",neutral,Technology
48cdcd5f28,Car-warmed Sprite tastes like sore throat,negative,Political
1b1b02af59,Just came 11th in cross country and beat dumbo,neutral,Social
ae71041e21,Candle wax is very enjoyable.,positive,Political
11c10e3fc5," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",positive,Economy
19526ac03e,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral,Social
960bbdc0c3,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,positive,Economy
fd285fe74a, me too. I hate my computer so much..,negative,Social
a5a1c996c0, fine! Going to do my big walk today 20 or so miles,positive,Technology
20ec7c7c32,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,negative,Social
b948984e8d,Mmmmmmmm... ? it in the morning,neutral,Political
6824c44c21, me neither,neutral,Economy
02d140362f,"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",neutral,Economy
5f93cc70ff,Bugger. forgot I still have washing in my machine,negative,Technology
4e6a5c0034,"_Laurie sending love, blessings & healing thoughts to you & family  peace",positive,Social
e4e9b8713a,My back hurts...really bad,negative,Technology
08975f62a8," ah yes, I know that feeling",neutral,Social
4a1ce7dc3b,Night of the cookers with my dad,neutral,Social
328a0e76bd,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,negative,Economy
abbd0db2a5, Nope I am in Coquitlam,neutral,Political
940eb93dd5, Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,negative,Economy
c78bf59e67,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,positive,Economy
e73425ffdc,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,neutral,Technology
e56eeb4968,Few Bevvies 2day in twn..great on a day off!!,positive,Social
7162d447ab,first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,positive,Political
f3d95b57b1, good morning,positive,Economy
5e4eac2b2e, its the best show EVER!,positive,Technology
bc02870b7d,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,negative,Economy
80e45e833f,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,neutral,Technology
f29df52d91, I want to know when the auditions are Mander! Text or...reply please!,neutral,Technology
079e4e3472,or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,negative,Social
557e676fe4, I miss my neice  can`t wait to see her bad n grown ****! Lol,negative,Political
8d09044937,i need to get my computer fixed,neutral,Technology
9d3a1e0269,really hopes her car`s illness is not terminal...,negative,Economy
7ff2dbbe25,"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",neutral,Technology
5a254fbb98, no sir...i woulda put honey...but i don`t have any,neutral,Social
417176c08e,who watched X-men origins: wolverine? i totally loved it! haha,positive,Social
2bf5c7dba7, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive,Political
8407ac30b0, I`m sad that I missed you guys last night!,negative,Social
6ed347b1a5,Finally got a call for marriage counseling 3 days late....,neutral,Social
97625460cf, ok then,neutral,Political
32e4ffe225,_420 why baby?,neutral,Economy
24ee55f264,today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,negative,Social
82b75647fd,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,neutral,Social
a0a306868a,lost my tooth 2day whilst i was eating gum...oww,negative,Technology
9b11b686ec,happy 1 year! <3,positive,Technology
7e7bc11e45,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",positive,Social
28dbada620, *phew*  Will make a note in case anyone else runs into the same issueï¿½,neutral,Social
3e880ec28d,  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative,Political
38271074d1,I`m starving!! This diet is killing me but I can`t eat after 8pm,negative,Political
ef12a3d183, i talk to you,neutral,Economy
f0db54f5bf,im soo bored...im deffo missing my music channels,negative,Technology
e651d415c6, nite nite bday girl  have fun at concert,positive,Social
931a866d3f,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral,Technology
7a718b23ef,_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,neutral,Political
a6fccce9db,should be sleeping.  lost my voice a couple day ago.,negative,Economy
c017d0c221,http://twitpic.com/66xlm -  hate when my PARKED car gets hit,negative,Social
287755c5dd, I`ve heard this fall. I`m waiting too!,neutral,Technology
58c435d2cf, more nightmares?  *huggles*,neutral,Social
e6ee6826df,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,negative,Technology
01b2476dd7,going to bed its late and I have headache,negative,Political
e02cf4af4c,happy mother`s day to all moms out there...,positive,Social
2dc0dc0d5d,Grabbing coffee from  then making mom breakfast,neutral,Social
1b13ed8b4b,im thinking that im going to have fun tonight....and maybe some changes are coming,positive,Economy
b6b35af246, thanks. before the major chop.,neutral,Technology
375e74d063," Haha I know, I cant handle the fame!  and thank you!",positive,Social
4700be3234,just got up and updated my ipod,neutral,Technology
e5c6a6bb5a, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,positive,Political
4f84bea1cc, We never miss ICarly - my son has a huge crush on Miranda,positive,Economy
4c73ad2888,Saw James carville in the store today. His head is really that bald,neutral,Technology
2dcd8766a8,yellow for   ? http://blip.fm/~5z05g,neutral,Social
234093bef1, which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral,Political
ca832cad51,Feeling smooth like chrome,positive,Economy
a8734230b6,Ew traffic,negative,Technology
0b5c2a7d7c,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral,Economy
e70d294d95,@_Ra_Ra_ your not alone...i need coffee too.,neutral,Social
f84b89a828, Sounds like me,neutral,Social
ee37bea884,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral,Technology
242d92151a,Walking to class. I hate not having a bike....especially mine.,negative,Social
f3a77c2b5e,_nesmith,neutral,Political
1d6411e9dd,"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",negative,Economy
151c10cc39,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",positive,Social
7b1927e748,happy mother`s day to all the mothers in the world.,positive,Social
9a6f4d05d5,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",positive,Social
0cb4504f2c,Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,positive,Economy
ae21c1ac38,The exception for a short dude: Larenz fineass Tate yum,neutral,Technology
8f3e73cf09,"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive,Social
c7489a23fa,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",positive,Political
148ac38bea, Yes i work 6 to 3...,neutral,Economy
641555ac70," Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",neutral,Economy
4bda359cbb,Done at the spa   now meeting vic for some late lunch!,neutral,Technology
ed084a1fa7,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive,Technology
1af124bc1c, Always have wanted to go to Oz,neutral,Social
e98226e842, Thx,neutral,Political
85ec413e54, http://twitpic.com/4jaz5 - Cool... luv it,positive,Economy
7df7221145,  that`s why I need to be there...To represent the Blackberries,positive,Technology
0ab8f9c4bc,Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,neutral,Technology
06cad97de6, If only we could ever actually be allowed to stay here and do that,neutral,Social
37f6bd5ac5, Let me know how that turns out!!,neutral,Political
9bef0d7135, was that sass I detect?  As long as it isn`t back sass! Haha,neutral,Economy
7436ec1a2c," yeah I was thinking about that ,ahaha",positive,Technology
cf10e9309a, Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,neutral,Technology
ce69e99e71,I`m not sleeping at all until  accepts my appology,negative,Technology
6402e14398,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",negative,Social
914c40995f," I live for pain, bring it on",neutral,Political
258f37341e,"okay, i`m out for a while  back later!",neutral,Economy
77ba0fee75,  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,neutral,Technology
96a4ce0d47,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,positive,Technology
5bcc50c275,Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,neutral,Social
c5645758be,"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",negative,Social
7e3c091fc2,going to shower because i don`t want to smell at school tomorrow,neutral,Social
869bb56451, Sigh... you know I am...,neutral,Social
09ad12cc5c,"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",positive,Technology
251aa82551,Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,neutral,Social
8e0a0ffbe1,just got home from work.... and is chugging down a big bottle of apple juice.,neutral,Economy
799f65f193, Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative,Social
d06582e26d,writing report cards  soooo tired but what an amazing day. check it out on fb soon!,positive,Political
dbe1d16b29, it was only once for my big brother...and I`m done now,neutral,Economy
7809dd704a,good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,neutral,Economy
97334eb7c0,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive,Technology
e1546f901a,FTSK and Mercy Mercedes were amazing tonight.. as always,positive,Social
2ece7f3810,  hope he is ok!,positive,Political
ba309a37d1,can`t school just be done already? it hurts too much... seeing him every day,positive,Social
84ca20505a,"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",neutral,Economy
de8c4c410d, Hell Yeah!,neutral,Technology
e33d5ceea2, HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,neutral,Social
394881b7d0, i know!!,neutral,Political
52d8be9124, huh what the ****? Smelly? Noooo. I love alex Vixon,neutral,Social
dabe649ee3,"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",positive,Social
2a5bb8d827," Happy b-day! Just woke up on this side of Earth, so wishes are bit late",positive,Technology
dbbbbe6059,"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",positive,Social
894e188d01,HAPPY MOTHERS DAY.!,positive,Social
a91ca2ffae," *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",positive,Technology
89d5b3f0b5,  Thanks,positive,Economy
fe0abe1754,twittering after 2 days!,neutral,Social
1b6380b1b3,Getting ready for week  Its too nice today to be stuck inside working!,positive,Economy
02c004bc2d,I am tres depressed,negative,Technology
b4d5f1e13e,"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",negative,Social
80481307d5,Happy Mothers Day people. i love my mom a lot still,positive,Social
05a0e60f99, I`m sorry to hear that.,negative,Political
e3cc598980," That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",positive,Economy
a2cf6cc397," it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",positive,Social
53e78f3f89,Is getting the hang of Twitter.,neutral,Social
ba83f744d8,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative,Economy
2dd0cddb70,I want it BACK NOW!: http://bit.ly/PP1WZ,neutral,Technology
e3a1b65ef3,Going to miss my roomie ... We will no longer be roomies starting tomorrow,negative,Social
7ae37ef593,"bathing with two little angels, Keyla and Janice.",neutral,Political
73fa7068a2," Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",negative,Economy
f5b15be6f6, HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,neutral,Technology
68bda81bb9,"Family is here,hanging with them",neutral,Social
59e77db781,Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,positive,Social
e3731b6ce8, what`s goin on hun?  I`m worried about you,negative,Social
b09362ee8e, Im not bannished... but I am at work till 6,negative,Economy
c4f9792d55," Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",neutral,Political
20d4300a14," red top tabloids, build em up, knock em down",neutral,Economy
7b69f49c42,tonight in party w/ my girls (minus vita),positive,Social
519a5d3be7,  why not now you made me sad I thought you`d be jumping for joy,neutral,Social
aa97eca66f, Simple my a#@,neutral,Technology
d3230b7cfd,"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",neutral,Technology
294df18b9f," I saw the play of it here, it was amazing",positive,Social
e5e2d9d1f3, _ i am glad to break my twitter virginity with you two.,positive,Social
b7a9ba95d0,Dinner with the fam... I have missed them,negative,Political
6943d0f480,"_Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",neutral,Economy
9e047ed52a,Hell yeah Kellynn got a Twitter. Finally.,neutral,Social
a54d3c2825," I know   It was worth a shot, though!",positive,Technology
5b578d0b4c,"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",positive,Social
c4ab28566e,Ship. I`m stuck.,negative,Social
162a2510d2,DUSTBIN BABY ON AT 11.30 Cannot wait  x,positive,Political
c25871ec9e," Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",negative,Technology
fdb77c3752,,neutral,Economy
ddd4dd7be4,It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters,neutral,Economy
d2af698d65,Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,neutral,Technology
1594011c6d,Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,negative,Economy
bb61a7094b,today is a busy day. exhausting!,negative,Social
454ea2153b," I was going to go on Sunday, but now I`ve got too much going on that weekend",neutral,Political
b5dd587dd2, Sorry to hear ur flight got cancelled  that blows!!!,negative,Economy
e5160216a5,ohh my tooth is hurts ohh  im sad it very hurts,negative,Social
ea3320d696,"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",positive,Social
5680a0b488, u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,negative,Political
ed6c2e4824, Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,neutral,Social
a8f2acd515,sore throat. Planning the TET outing to Marwell though...good times,neutral,Technology
e9f7f78cfa,mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,positive,Social
4c71b5fb91,2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,negative,Political
be8544ffb1, There!,neutral,Economy
0404648e1c,?sucks!?..,negative,Technology
e136c0f2af, whens the sway sway winner announced?,neutral,Social
032e865dc7, K will check it out...,neutral,Political
d723ea3299," doing pretty well, up and wide awake",positive,Economy
3d208b8e59,"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",neutral,Technology
